X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-77.0123085022,38.925392313499998,2012139,Single,50012906,11000102,West,3782.33789063,-77.01230621,38.92538452,,,-77.012146,38.92538452,1ST ST NW,2900,Duncan Single-Space,Unknown,Removed,1,N,2222,202002123354,NoPolicy_
-77.034365088599998,38.930828256700003,2012140,Multi,14901492,11068902,Southwest,1437.35583496,-77.03436279,38.93082047,,,-77.03434753,38.93083954,PARK RD NW,1400,Stelio,Active,Installed,15,N,24199,202002123354,
-77.034555822900003,38.901100315800001,2012141,Single,22580839,11089442,East,109.69975281,-77.03455353,38.90109253,,,-77.03461456,38.90110397,VERMONT AVE NW,800,IPS Cash and Card,Active,Installed,1,N,21789,202002123354,
-76.997698208200006,38.940067457399998,2012142,Single,54583772,12050202,West,758.71105957,-76.99769592,38.94005966,,,-76.99763489,38.94007492,JOHN MCCORMACK RD NE,3700,IPS Cash and Card,Active,Installed,1,N,21531,202002123354,
-76.9976905786,38.940048383899999,2012143,Single,54583770,12050202,West,756.49291992,-76.99768829,38.94004059,,,-76.99761963,38.94005585,JOHN MCCORMACK RD NE,3700,IPS Cash and Card,Active,Installed,1,N,21531,202002123354,
-77.008379359900005,38.8839227311,2012144,Multi,65600092,13049072,Southeast,46.02756882,-77.00837708,38.88391495,,,-77.00841522,38.88394547,IVY ST SE,0,Stelio,Inactive,Removed,9,N,11111,202002123354,NoPolicy_
-77.013567351600003,38.893337405600001,2012145,Single,60020221,11000202,East,138.41415405,-77.01356506,38.89332962,,,-77.01363373,38.89332962,2ND ST NW,200,IPS Cash and Card,Active,Installed,1,N,2224,202002123354,
-77.019792939300004,38.9021569875,2012146,Single,60060919,11000602,East,1118.34924316,-77.01979065,38.9021492,,,-77.01991272,38.9021492,6TH ST NW,900,IPS Cash and Card,Active,Installed,1,N,2297,202002123354,
-76.990175619200002,38.881752168299997,2012147,Single,60810506,13001202,East,830.97869873,-76.99017334,38.88174438,,,-76.990242,38.88174438,12TH ST SE,500,IPS Cash and Card,Active,Installed,1,N,21187,202002123354,
-76.9901756191,38.881836092699999,2012148,Single,60810504,13001202,East,821.66259766,-76.99017334,38.88182831,,,-76.990242,38.88182831,12TH ST SE,500,IPS Cash and Card,Active,Installed,1,N,21187,202002123354,
-76.990167990700002,38.881931459299999,2012149,Single,60810502,13001202,East,811.07434082,-76.99016571,38.88192368,,,-76.990242,38.88192368,12TH ST SE,500,IPS Cash and Card,Active,Installed,1,N,21187,202002123354,
-76.990328207100006,38.881862795,2012150,Single,60810503,13001202,West,818.73468018,-76.99032593,38.88185501,,,-76.990242,38.88185501,12TH ST SE,500,Duncan Single-Space,Active,Removed,1,N,21186,202002123354,NoPolicy_
-77.021837619099998,38.9152261427,2012151,Single,20071823,11000702,East,2840.65112305,-77.02183533,38.91521835,,,-77.02191925,38.91521835,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22034,202002123354,NoPolicy_
-77.022028352899994,38.915191810499998,2012152,Single,20071824,11000702,West,2836.8840332,-77.02202606,38.91518402,,,-77.02191925,38.91518402,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22035,202002123354,NoPolicy_
-77.021837618,38.915321510600002,2012153,Single,20071825,11000702,East,2851.23876953,-77.02183533,38.91531372,,,-77.02191925,38.91531372,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22034,202002123354,NoPolicy_
-77.022028353699994,38.915264289900001,2012154,Single,20071826,11000702,West,2844.9296875,-77.02202606,38.9152565,,,-77.02191925,38.9152565,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22035,202002123354,NoPolicy_
-77.021837618399999,38.915416877299997,2012155,Single,20071827,11000702,East,2861.82543945,-77.02183533,38.91540909,,,-77.02191925,38.91540909,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22034,202002123354,NoPolicy_
-77.034220129800005,38.918171089200001,2012156,Single,11211433,11088462,North,1851.71740723,-77.03421783,38.9181633,,,-77.03421783,38.91811371,V ST NW,1400,IPS Cash and Card,Unknown,Removed,1,N,21777,202002123354,NoPolicy_
-77.021837618800006,38.915512245199999,2012157,Single,20071829,11000702,East,2872.47167969,-77.02183533,38.91550446,,,-77.02191925,38.91550446,7TH ST NW,1800,IPS Cash and Card,Unknown,Removed,1,N,22034,202002123354,NoPolicy_
-77.034220129800005,38.918171089200001,2012158,Single,11211431,11088462,North,1851.71740723,-77.03421783,38.9181633,,,-77.03421783,38.91811371,V ST NW,1400,IPS Cash and Card,Active,Installed,1,N,21777,202002123354,
-77.029489902099996,38.898788609100002,2012159,Single,20130709,11001302,East,370.18585205,-77.02948761,38.89878082,,,-77.02961731,38.89878082,13TH ST NW,700,Duncan Single-Space,Active,Removed,1,N,22131,202002123354,NoPolicy_
-77.029756931700007,38.898864902500002,2012160,Single,20130708,11001302,West,378.5625,-77.02975464,38.89885712,,,-77.02961731,38.89885712,13TH ST NW,700,Duncan Single-Space,Unknown,Removed,1,N,22132,202002123354,NoPolicy_
-77.045191202200002,38.9129830993,2012161,Single,22071709,11025152,East,1401.71923828,-77.0451889,38.91297531,,,-77.04534149,38.91292191,CONNECTICUT AVE NW,1700,IPS Cash and Card,Active,Installed,1,N,22470,202002123354,
